224.93,12.306,0.0012005
215.61,10.138,0.0044877
205.04,9.0187,0.0037425
201.9,8.1588,0.0031626
194.78,6.8846,0.0039246
187.26,5.9859,0.0023529
183.04,5.7503,0.0023895
173.48,4.9184,0.0062794
164.05,4.4737,0.0039277
158.22,4.3732,0.0023923
154.27,4.0136,0.007767
153.03,4.0898,0.0071059
173.37,5.1721,0.0071727
199.63,6.5058,0.0090439
219.51,8.0452,0.0077469
230.99,9.9444,0.0059737
236.9,11.503,0.002584
238.48,12.837,0.0019367
239.45,14.32,0.0023895
235.71,15.06,0.00064599
235.93,15.396,0.0012912
232.54,15.485,0.0017932
230.49,14.725,0
229.07,13.755,0.0012937
222.04,11.256,0.0019672
211.75,9.2436,0.0016407
202.03,8.2046,0.0024651
197.64,7.3965,0.0027778
185.87,6.0017,0.0043253
177.12,5.1698,0.0060606
170.92,4.9534,0.0039422
162.96,4.3371,0.0060659
154.71,3.9818,0.0034632
153.72,4.0185,0.0039396
155.27,3.876,0.0034819
150.2,3.9107,0.0076709
161.35,4.3524,0.0065617
181.55,5.6026,0.0076548
211.06,7.1134,0.014614
228.99,8.794,0.0072178
233.84,10.561,0.0076548
238.32,11.954,0.0048713
240.4,13.079,0.0013123
239.03,13.987,0
238.67,14.346,0.0013928
237.32,14.549,0
232.23,13.949,0.00069686
229.9,12.776,0.00069686
210.63,8.9002,0.0017921
193.67,7.4389,0.003701
187.92,6.6188,0.0044412
182.96,5.9323,0.0012658
173.77,5.0935,0.0046368
167.02,4.4911,0.0069606
160.12,4.3632,0.0035842
153.17,3.9171,0.0046476
147.11,3.6576,0.0092951
142.08,3.6398,0.0035842
139.54,3.619,0.0050633
141.73,3.699,0.0044332
144.78,3.8303,0.0077658
159.02,4.6895,0.0088664
186.29,5.9316,0.012025
210.83,7.497,0.0077658
227.01,9.1406,0.0031666
235.35,10.748,0.0018999
238.17,11.962,0.0011947
235.25,12.59,0.0031646
234.5,13.087,0.0012658
232.69,13.027,0.0011947
227.28,12.065,0.0012658
220.82,10.391,0.0012658
