0,0,0,0,0,0,0,0,14.704,1.7374,1,0
0,0,0,0,0,0,0,0,14.133,1.5921,1,0
0,0,0,0,0,0,0,0,13.616,1.443,1,0
0,0,0,0,0,0,0,0,11.165,1.3358,1,0
0,0,0,0,0,0,0,0,10.824,1.3369,1,0
0,0,0,0,0,0,0,0,10.491,1.3828,1,0
0,0,0,0,0,0,0,0,10.151,1.4056,1,0
0,0,0,0,0,0,0,0,9.8295,1.4321,1,0
0,0,0,0,0,0,0,0,9.5501,1.4737,1,0
0,0,0,0,0,0,0,0,9.3401,1.556,1,0
0,0,0,0,0,0,0,0,9.2109,1.6097,1,0
119.49,97.593,20.281,1.6163,66.891,44.34,22.551,341.65,9.9097,1.6561,0,0.41282
306.62,256.29,45.349,4.9893,206.47,156.05,50.426,492.83,11.423,1.8062,0,0.41282
480.52,405.55,66.713,8.2501,341.43,267.25,74.181,564.24,13.427,1.9396,0,0.39487
607.94,503.73,93.394,10.818,447.71,343.86,103.85,580.08,15.192,2.0257,0,0.40769
698.51,580.55,105.39,12.565,519.98,402.79,117.19,605.47,16.59,2.158,0,0.39487
735.54,608.8,113.44,13.29,550.02,423.87,126.15,618.76,17.535,2.2253,0,0.38462
702.9,582.37,107.9,12.629,522.63,402.65,119.98,618.22,18.029,2.3438,0,0.37949
612.33,514.87,86.696,10.766,445.54,349.14,96.401,615.75,17.899,2.3656,0,0.3641
489.91,417.77,63.883,8.252,341.51,270.47,71.035,620.76,17.383,2.3279,0,0.31795
298.87,252.57,41.668,4.6376,191.92,145.59,46.333,544.42,16.486,2.1943,0,0.30769
95.364,80.223,13.994,1.1479,47.504,31.944,15.56,352.42,15.059,1.9383,0.076923,0.089744
0,0,0,0,0,0,0,0,13.857,1.7092,1,0
0,0,0,0,0,0,0,0,13.019,1.5764,1,0
0,0,0,0,0,0,0,0,12.44,1.4744,1,0
0,0,0,0,0,0,0,0,11.978,1.4388,1,0
0,0,0,0,0,0,0,0,11.556,1.3361,1,0
0,0,0,0,0,0,0,0,10.121,1.6056,1,0
0,0,0,0,0,0,0,0,9.9186,1.5936,1,0
0,0,0,0,0,0,0,0,9.7274,1.6455,1,0
0,0,0,0,0,0,0,0,9.5638,1.6899,1,0
0,0,0,0,0,0,0,0,9.3877,1.7298,1,0
0,0,0,0,0,0,0,0,9.1908,1.713,1,0
0,0,0,0,0,0,0,0,8.9352,1.7757,1,0
0,0,0,0,0,0,0,0,8.7042,1.8372,1,0
22.305,16.84,5.2344,0.23119,9.5737,3.7535,5.8202,57.354,8.785,1.8191,0.70223,0.55335
192.77,158.07,32.223,2.4779,102.55,66.717,35.831,308.17,9.6761,1.9017,0,0.58065
319.3,259.61,54.924,4.7596,196.97,135.89,61.073,370.26,11.106,2.0108,0,0.57568
427.43,342.66,77.954,6.8109,281.85,195.17,86.681,407.06,12.577,2.0812,0,0.56328
509.41,416.81,84.387,8.2198,340.17,246.34,93.835,450.38,13.663,2.1634,0,0.52854
522.24,425.89,87.86,8.4836,351.1,253.4,97.697,450.38,14.496,2.21,0,0.53102
488.04,396.44,83.744,7.8533,325.01,231.89,93.12,439.65,14.937,2.204,0,0.53598
443.1,362.04,74.209,6.8525,283.59,201.07,82.518,454.74,14.831,2.194,0,0.49876
320.98,264,52.424,4.5576,188.62,130.32,58.293,414.63,14.429,2.1435,0,0.49876
240.75,213.39,24.873,2.4855,102.86,75.203,27.658,491.46,13.585,1.9373,0,0.20099
0.077866,0,0.075856,0.0019603,0.084318,0,0.084318,0,12.557,1.863,1,0.014888
0,0,0,0,0,0,0,0,11.811,1.77,1,0
0,0,0,0,0,0,0,0,11.278,1.7073,1,0
0,0,0,0,0,0,0,0,10.893,1.6514,1,0
0,0,0,0,0,0,0,0,10.56,1.6297,1,0
0,0,0,0,0,0,0,0,10.296,1.5505,1,0
0,0,0,0,0,0,0,0,9.252,2.1201,1,0
0,0,0,0,0,0,0,0,8.9866,2.1675,1,0
0,0,0,0,0,0,0,0,8.7636,2.2266,1,0
0,0,0,0,0,0,0,0,8.612,2.2627,1,0
0,0,0,0,0,0,0,0,8.4853,2.3111,1,0
0,0,0,0,0,0,0,0,8.3535,2.3705,1,0
